dataset,seed,scope,variant,n_users,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
sports,2028,Q4-high,Past+Future,423,0.0,0.0,0.0,0.004728132387706856,0.0011475388022851969,0.0002889414236931967
sports,2028,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2029,Overall,Past-only,1693,0.0383933845245127,0.01831634034084762,0.012280257643518129,0.05906674542232723,0.023455157116646093,0.013645188906280378
sports,2029,Overall,Future-only,1693,0.00767867690490254,0.003468961851993263,0.002242661191273123,0.014176018901358535,0.005089311748280296,0.0026745065233998904
sports,2029,Overall,Past+Future,1693,0.03484937979917307,0.017271911456579567,0.012035083771646088,0.05729474305965741,0.02294512851576278,0.013591600322406831
sports,2029,Overall,FIR-MIC full,1693,0.0637920850561134,0.03382381836799315,0.024859599283698516,0.09864146485528648,0.04252166989207754,0.027187600352165248
sports,2029,Q4-high,Past-only,423,0.004728132387706856,0.0019278129474839924,0.0010835303388494878,0.004728132387706856,0.0019278129474839924,0.0010835303388494878
sports,2029,Q4-high,Future-only,423,0.018912529550827423,0.008024461155237235,0.004855716912454502,0.02127659574468085,0.008580983409059077,0.004987053923224136
sports,2029,Q4-high,Past+Future,423,0.004728132387706856,0.001932693535006938,0.0010638297872340426,0.004728132387706856,0.001932693535006938,0.0010638297872340426
sports,2029,Q4-high,FIR-MIC full,423,0.0,0.0,0.0,0.0,0.0,0.0
sports,2030,Overall,Past-only,1693,0.012404016538688719,0.005171106457659648,0.003031624147985636,0.02067336089781453,0.007202103147666917,0.003557929394418745
sports,2030,Overall,Future-only,1693,0.005906674542232723,0.0024218312182552344,0.0013819743294049259,0.014176018901358535,0.004545010004022325,0.001980608551349665
sports,2030,Overall,Past+Future,1693,0.011813349084465446,0.005167813413572711,0.0031492888551364635,0.019492025989367986,0.0070771764618645155,0.0036568754496243204
sports,2030,Overall,FIR-MIC full,1693,0.06024808033077377,0.03349667526898537,0.025378542832766103,0.09214412285883047,0.041581061076067766,0.027606907034809943
sports,2030,Q4-high,Past-only,423,0.014184397163120567,0.00619436661587411,0.00368681751660475,0.03309692671394799,0.010796952611103075,0.004854751199140019
