dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2025,>=6,148,7.547297297297297,0.5897482301335077,Multi-interest per-item,0.05405405405405406,0.03198398993545879,0.025589875589875587,0.11486486486486487,0.04677516351889355,0.029339900557005825
clothing,2025,>=6,148,7.547297297297297,0.5897482301335077,FIR-MIC,0.05405405405405406,0.03201954751419548,0.02575879450879451,0.0945945945945946,0.04191814386333937,0.028292871384976652
clothing,2026,1,149,1.0,,Multi-interest per-item,0.08053691275167785,0.04216715103347054,0.031234686268243318,0.09395973154362416,0.04556075551530918,0.03216682646212848
clothing,2026,1,149,1.0,,FIR-MIC,0.06711409395973154,0.044676504376651674,0.03731224033237456,0.08053691275167785,0.048128530276099785,0.03829522453683527
clothing,2026,2-3,1517,2.3269611074489123,0.5775646072816676,Multi-interest per-item,0.07580751483190508,0.0468559922208759,0.038062801477435626,0.1021753460777851,0.05345079859111744,0.03983688136164917
clothing,2026,2-3,1517,2.3269611074489123,0.5775646072816676,FIR-MIC,0.07646671061305207,0.04818570200516621,0.03952741940546818,0.0995385629531971,0.0539023198530751,0.041035533540064235
clothing,2026,4-5,281,4.3736654804270465,0.5895858407020569,Multi-interest per-item,0.08185053380782918,0.04886885547911857,0.03880415748743151,0.11387900355871886,0.05680230654362809,0.04088988917277978
clothing,2026,4-5,281,4.3736654804270465,0.5895858407020569,FIR-MIC,0.08185053380782918,0.04446432962383915,0.03353951307687962,0.1103202846975089,0.051706002357427845,0.035544516772274784
clothing,2026,>=6,148,7.547297297297297,0.5897482301335077,Multi-interest per-item,0.060810810810810814,0.03375389130630014,0.0260483697983698,0.08783783783783784,0.04098228279901562,0.028242121992121994
clothing,2026,>=6,148,7.547297297297297,0.5897482301335077,FIR-MIC,0.04054054054054054,0.027117867364054225,0.023273273273273276,0.08108108108108109,0.037516684099503046,0.026222394643447274
clothing,2027,1,149,1.0,,Multi-interest per-item,0.06711409395973154,0.041071927003149065,0.03334132310642378,0.10738255033557047,0.05122299114700887,0.03610762838950759
clothing,2027,1,149,1.0,,FIR-MIC,0.06711409395973154,0.04064928989480783,0.03215883668903803,0.08053691275167785,0.04408496808017448,0.033117609459891346
clothing,2027,2-3,1517,2.3269611074489123,0.5775646072816676,Multi-interest per-item,0.07382992748846408,0.04524648785034916,0.03657621035669816,0.09690177982860909,0.05107830221667822,0.03817639250603836
clothing,2027,2-3,1517,2.3269611074489123,0.5775646072816676,FIR-MIC,0.07317073170731707,0.04701096735870018,0.038915047451632816,0.1021753460777851,0.05419535772100077,0.040807221568755964
clothing,2027,4-5,281,4.3736654804270465,0.5895858407020569,Multi-interest per-item,0.0711743772241993,0.04259710095637555,0.033778173190984584,0.09608540925266904,0.04911987745661746,0.03568302641465714
clothing,2027,4-5,281,4.3736654804270465,0.5895858407020569,FIR-MIC,0.07829181494661921,0.04427786710789996,0.03409167937637689,0.11743772241992882,0.05394434145242065,0.036625027955333254
clothing,2027,>=6,148,7.547297297297297,0.5897482301335077,Multi-interest per-item,0.060810810810810814,0.031111106806500075,0.02253861003861004,0.08108108108108109,0.036474834118639776,0.024138221013221016
clothing,2027,>=6,148,7.547297297297297,0.5897482301335077,FIR-MIC,0.04054054054054054,0.02726791227941624,0.02343146718146718,0.08108108108108109,0.0376423665197054,0.026355781870487753
clothing,2028,1,149,1.0,,Multi-interest per-item,0.06711409395973154,0.036911553577121475,0.028166613401512726,0.10067114093959731,0.04526665847890986,0.030391134435641676
clothing,2028,1,149,1.0,,FIR-MIC,0.06711409395973154,0.04756695107513082,0.04122722914669223,0.08053691275167785,0.050857687878715696,0.04207906187771959
clothing,2028,2-3,1517,2.3269611074489123,0.5775646072816676,Multi-interest per-item,0.07712590639419907,0.04766181510949118,0.03875678814703205,0.09887936717205009,0.053176733877888356,0.040277444714694584
clothing,2028,2-3,1517,2.3269611074489123,0.5775646072816676,FIR-MIC,0.07514831905075807,0.047261442042158756,0.03858544956105932,0.09690177982860909,0.05273252156288299,0.04006925537451098
clothing,2028,4-5,281,4.3736654804270465,0.5895858407020569,Multi-interest per-item,0.07829181494661921,0.03963248797723412,0.028331356267299324,0.1103202846975089,0.04772493290727716,0.030547067021318642
clothing,2028,4-5,281,4.3736654804270465,0.5895858407020569,FIR-MIC,0.0711743772241993,0.04419327015505613,0.03608004293057674,0.11743772241992882,0.05593357583293205,0.03932019261669009
clothing,2028,>=6,148,7.547297297297297,0.5897482301335077,Multi-interest per-item,0.06756756756756757,0.04056015488856525,0.03291773916773917,0.10135135135135136,0.04933224788804139,0.035446860117912746
clothing,2028,>=6,148,7.547297297297297,0.5897482301335077,FIR-MIC,0.033783783783783786,0.024556508979711584,0.021986271986271986,0.0945945945945946,0.040510794706410495,0.026669426669426666
